foobar,height (cm)
1,0.43012661609906033
2,0.6636961908150896
3,0.1392752429859912
4,0.16505581293222388
5,0.08276477494309156
6,0.21125495465067312
7,0.34674796405266395
8,0.3057603268529906
9,0.4080214047333015
10,0.12117496074485608
11,0.5340088079529562
12,0.532710955230985
13,0.28313340606839343
14,0.39505945727434955
15,0.033712726853129676
16,0.5868057128069589
17,0.35562199812629813
18,0.2086336949548715
19,0.13872726010418637
20,0.5386336939716839
21,0.18446998966028116
22,0.4855967802615898
23,0.07871548427460863
24,0.34945048782160737
25,0.3857881050178007
26,0.6380800989146393
27,0.28371156056653185
28,0.3908799096729463
29,0.42343307213671144
30,0.1816788435032589
31,0.24811870795633253
32,0.23054810598557315
33,0.16236490501998824
34,0.03265142358139736
35,0.5135085221859887
36,0.25604564611876746
37,0.19383381917931475
38,0.32316959268596274
39,0.35885018408067737
40,0
41,0.1971520501620959
42,0.31112375002437725
43,0.3132854785711373
44,0.6118940395268757
45,0.25422838310179163
46,0.4495639096844478
47,0.5055583842642905
48,0.24693333321387134
49,0.40885700188643925
50,0.393815465687261
51,0.27533584287647506
52,0.1513222863052857
53,0.35147477821211615
54,0.2890131890600195
55,0.19531951243547863
56,0.2586802670324625
57,0.49441056700757924
58,0.264498784424346
59,0.37133808385176215
60,0.15095260167129998
61,0.20414677702985
62,0.37069097287562425
63,0.3388349701419682
64,0.34326452876571023
65,0.22550160106012554
66,0.5811957172580571
67,0.12044905080069283
68,0.006186977616496697
69,0.18430645285455935
70,0.8317311068336453
71,0.3099660560020855
72,0.05437240868917657
73,0.18816353076090997
74,0.790231476063749
75,0.7047253076699
76,0.138880142778349
77,0.29645031312366316
78,0.8419017016179005
79,0.2881306344135346
80,0.3436442781867515
81,0.15899763412395915
82,0.2694146643379544
83,0.42358798365103656
84,0.7585651795155458
85,0.7934835333573274
86,0.11627441038131658
87,0.23350783655183927
88,0.3383066424361791
89,0.3263466564334947
90,0.2475017558097694
91,0.18456142926928884
92,0.5957453517110521
93,0.1481740937617728
94,0.3219544885124987
95,0.28144769409441234
96,0.4525570814881411
97,0.7558681368455329
98,0.49696366278254356
99,0.4666053021543216
100,0.5553699995955746
101,0.25583943794440134
102,0.652002521633365
103,0.07891696405721163
104,0.2516848283624144
105,0.34802119338911786
106,0.5605383044820896
107,0.8699298062530102
108,0.24008229891735733
109,0.3162232941300196
110,0.505321238934115
111,0.5039188532155227
112,0.36933782802279924
113,0.5926936021536499
114,0.37855149922013254
115,0.16184815477937303
116,0.16336857920857284
117,0.26581350683984306
118,0.06066837041805149
119,0.4274772164763959
120,0.21060379633867624
121,0.182230165934425
122,0.2729525163517802
123,0.2823676748283681
124,0.49247305163770105
125,0.45206923408837796
126,0.18143155000394312
127,0.3189493244905434
128,0.3317719371233876
129,0.46235695350569295
130,0.2897933903670562
131,0.17525465740047685
132,0.4116781784932726
133,0.29236353544327254
134,0.714712070977635
135,0.24247383222342916
136,0.2229938003582502
137,0.4671453588813713
138,0.34324987711078336
139,0.21549406962984113
140,0.24149502478647494
141,0.17748465842404992
142,0.049785181959991466
143,0.14046961843026623
144,0.5305596698227377
145,0.6044239550793339
146,0.15407127145246993
147,0.444409109737153
148,0.5015528352676205
149,0.6539456468590852
150,0.8413391664007748
151,0.2481270086102083
152,0.4716939788311888
153,0.34380160453341835
154,0.2779004027894821
155,0.581940283305034
156,0.1724094341102292
157,0.4445369743128672
158,0.08782997012340037
159,0.2710592340656612
160,0.3065830956304711
161,0.14821901797645193
162,0.3723162219211519
163,0.3690585632489486
164,0.2700514491812057
165,0.7222982979110057
166,0.4080390048158362
167,0.22532317013827963
168,0.1579770409327158
169,0.14432392576304445
170,0.07579080205208927
171,0.35848511603274835
172,0.4905627449822725
173,0.3337203150736985
174,0.29270136715961914
175,0.3164459094363439
176,0.15978135945126926
177,0.5134099799076113
178,0.4089685616849582
179,0.40005083703717237
180,0.08267552341615751
181,0.10978721571997639
182,0.045295951301435204
183,0.20695968752037353
184,0.37991481538343086
185,0.38451745368152046
186,0.22650833669927906
187,0.36038382426117044
188,0.19158585487380422
189,0.2441652048928892
190,0.3563444363617686
191,0.2652251629152309
192,0.1707763759953071
193,0.3774060294314161
194,0.19862712637096264
195,0.43536474965549765
196,0.36300780423515777
197,0.47634907090886747
198,0.3673030720578676
199,0.0893531682188352
200,0.23916959452865844
201,0.5347579715014097
202,0.20544305138564464
203,0.21753666928239726
204,0.655933525992282
205,0.15724278287378773
206,0.2199888981102966
207,0.2828414082895382
208,0.947130383635383
209,0.1331123131541534
210,0.29282497468976665
211,0.10004639175797968
212,0.3288111700333971
213,0.41692273281233694
214,0.39024470780995457
215,0.5018487940537731
216,0.07693898174865155
217,0.08673767790174218
218,0.38293817866275937
219,0.7071837865711335
220,0.048890247460421546
221,0.48649511282690294
222,0.19938168427955977
223,0.4292603248499193
224,0.5475788795423753
225,0.1412621072181157
226,0.39524212073922027
227,0.3355839640401834
228,0.27997244292420576
229,0.14919272802001507
230,0.18145181506588012
231,0.2793454777833335
232,0.08283553912994318
233,0.23025315376578015
234,0.2162760519921701
235,0.3966647271193464
236,0.19020734412328577
237,0.3162172459163358
238,0.47443134359493766
239,0.21221174608687737
240,0.28159798212046105
241,0.2818621933963355
242,0.16271233537028598
243,0.09803216936080401
244,0.8148191365803292
245,0.6858561234595152
246,0.5349092522228164
247,0.11732263061256128
248,0.4998324790162012
249,0.15099641217438997
250,0.3395875669289626
251,0.07351880396338105
252,0.2473246348420154
253,0.25628620938634905
254,0.1526121587769496
255,0.10031520198707225
256,0.6262155302639753
257,0.6100869789096316
258,0.1719064690326999
259,0.5614751500043966
260,0.338568884041618
261,0.359112609912411
262,0.4303282527618494
263,0.17234311477153408
264,0.33704796325717457
265,0.5914788366948418
266,0.037387832657944736
267,0.4784695847720549
268,0.3885881323223257
269,0.3493725173953012
270,0.6518084564709498
271,0.2133572567312394
272,0.339290620420252
273,0.34247447537940473
274,0.17035022865249116
275,0.5215040094102421
276,0.40528722504343806
277,0.5972082801628733
278,0.17467551715187446
279,0.3854325789427736
280,0.19948642268309444
281,0.5393914925605259
282,0.6045283993555355
283,0.3014171069033643
284,0.36351750177108044
285,0.16645771800777082
286,0.2508990929516213
287,0.27170316756295354
288,0.2709326598790423
289,0.3782668036244383
290,0.26972012284501645
291,0.44033785883541754
292,0.33215724595380974
293,0.49229240077064007
294,0.6419267579764051
295,0.249256542222643
296,0.16117619889006424
297,0.443470873155946
298,0.3638208856237215
299,0.4312862257414761
300,0.36890769719103755
301,0.3363533237721281
302,0.5110895337026113
303,0.2742818969022093
304,0.3463895009062792
305,0.3948186886690762
306,0.5828225299018304
307,0.5465173552139895
308,0.36026686353092596
309,0.19151568746676256
310,0.36611151875018577
311,0.1373409213065912
312,0.474908396477587
313,0.19600210459132184
314,0.21641086572259322
315,0.5678929399288786
316,0.1906314875218278
317,0.16642229875666545
318,0.28552911931174335
319,0.16574580463848892
320,0.3143320748564365
321,0.2837346212845153
322,0.11238556439001472
323,0.8985461294757597
324,0.2675427661629094
325,0.3532703125266613
326,0.44735663254400215
327,0.21059927904910902
328,0.23641809787873883
329,0.06692743453257474
330,0.3614566581242278
331,0.21310316545776992
332,0.7372698961432052
333,0.09300853757152026
334,0.6184903689796599
335,0.2812852269698527
